followers,post_type,caption_length,hashtag_count,posting_hour,day_of_week,prev_avg_engagement,engagement
5000,1,120,10,18,5,300,820
2000,0,80,5,12,3,150,300
8000,1,150,12,20,6,500,1200
3000,0,60,4,10,2,200,350
10000,1,200,15,19,7,700,1500
4500,0,90,6,14,4,250,500
6000,1,110,9,17,5,400,900
2500,0,70,3,11,1,180,320
9000,1,180,14,21,6,650,1400
3500,0,85,5,13,3,220,480
7000,1,130,11,18,5,450,1000
1500,0,50,2,9,2,120,200
8500,1,170,13,20,6,600,1300
4000,0,95,6,15,4,300,550
9500,1,190,16,22,7,750,1600
2800,0,75,4,12,3,210,360
7200,1,140,10,19,5,480,1050
3200,0,65,3,10,2,190,340
8800,1,175,14,21,6,670,1450
3700,0,88,5,14,4,240,520
5200,1,125,9,18,5,310,850
2100,0,78,4,11,2,160,310
7800,1,155,13,20,6,510,1250
3300,0,62,3,10,1,205,360
10200,1,210,16,19,7,720,1550
4600,0,92,7,15,4,260,530
6100,1,115,8,17,5,410,920
2600,0,68,3,12,2,170,330
9100,1,185,15,22,6,660,1420
3600,0,82,5,13,3,230,490
7100,1,135,11,18,5,460,1020
1600,0,55,2,9,2,130,220
8600,1,175,14,21,6,610,1320
4200,0,98,6,15,4,310,570
9700,1,195,17,22,7,770,1620
2900,0,77,4,12,3,215,370
7300,1,145,10,19,5,490,1080
3400,0,67,3,10,2,195,350
8900,1,180,14,21,6,680,1470
3800,0,90,5,14,4,250,540
5400,1,130,9,18,5,320,870
2200,0,80,4,11,2,170,320
8000,1,160,13,20,6,520,1280
3100,0,63,3,10,1,210,370
10400,1,220,17,19,7,740,1580
4700,0,94,7,15,4,270,540
6200,1,120,8,17,5,420,930
2700,0,70,3,12,2,180,340
9200,1,190,15,22,6,690,1450
3600,0,85,5,13,3,240,500
7400,1,150,11,18,5,470,1030
1700,0,58,2,9,2,140,230
8700,1,180,14,21,6,620,1340
4300,0,100,6,15,4,320,580
9800,1,200,17,22,7,780,1650
3000,0,78,4,12,3,220,380
7500,1,155,10,19,5,500,1100
3500,0,68,3,10,2,200,360
